"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"19","proud-wheel-19","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.547Z","361.004","2021-03-23T19:32:28.006Z","196.676",79.35,5.6,10,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcbc","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","114.44","58.22","33.67","18.68","77.06","10.05",29462,0,"0 %",18108,1,"0.01 %","9.26",17,"9.57","16.81","23.93",69,"3313.45","1655.97","1133.11","268.44","1391.66",48,58947,0,"0 %",36896,"0.50","0.00 %","152.17","377.55","8.22","33.10","25.61",190
"20","proud-wheel-20","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.550Z","339.923","2021-03-23T19:33:42.755Z","121.766",3.77,5.8,10,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcbd","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:944575 Se","56.57","30.05","33.48","19.45","33.20","18.05",11576,0,"0 %",5920,0,"0 %","11.41",27,"5.55","8.13","16.58",24,"1620.88","868.45","1427.71","135.29","1092.98","238.38",23191,0,"0 %",12585,2,"0.02 %","244.87","310.52","5.07","8.76","17.22",39
"21","proud-wheel-21","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.551Z","342.882","2021-03-23T19:32:35.322Z","173.6",66.11,5.5,11,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcbe","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","176.89","29.17","34.13","8.96","88.85","3.53",38890,0,"0 %",7695,0,"0 %","11.27",51,"9.53","13.58","31.72",111,"4652.48","789.95","1496.95","237.34","3303.53","91.65",72681,0,"0 %",14271,0,"0 %","99.39","126.21","9.20","23.70","27.03",161
"22","proud-wheel-22","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.552Z","313.1","2021-03-23T19:33:15.299Z","132.866",2.87,5.8,11,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcbf","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:944575 Se","27.41","29.69","35.32","15.41","33.44","12.06",6242,0,"0 %",6401,0,"0 %","16.16",36,"6.75","11.96","34.41",429,"779.64","840.72","1718.49","213.85","1418.63","260.20",12020,0,"0 %",13461,0,"0 %","332.23","493.00","6.01","10.21","18.27",38
"23","proud-wheel-23","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.553Z","367.745","2021-03-23T19:32:33.523Z","194.238",75.59,5.2,12,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc0","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","120.80","57.98","216.59",0,"93.66","15.27",28120,0,"0 %",16731,"0.50","0.01 %","15.53",50,"15.48","30.58","51.50",161,"3120.65","1377.14","6994.49","212.48","1574.59","189.81",51755,0,"0 %",27895,"0.50","0.00 %","1990.57","3079.72","11.65","30.93","42.27",366
"24","proud-wheel-24","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.553Z","330.742","2021-03-23T19:33:33.423Z","134.742",2.84,5.3,12,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc1","https:/www.staging.liviasaude.com.br/assetslv2/img/logo-livia-azul.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","55.86","29.57","149.66",0,"33.04","11.04",12552,0,"0 %",6528,0,"0 %","18.30",69,"7.80","48.63","18.63",46,"1273.30","849.07","1639.10","187.77","1160.20","267.50",20345,0,"0 %",13937,1,"0.01 %","439.86","850.70","6.12","13.03","18.43",38
"25","proud-wheel-25","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.554Z","344.946","2021-03-23T19:32:29.152Z","177.411",41.56,5.7,13,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc2","Error while running .clickElement) protocol action: stale element reference: element is not attached to the page document","215.20","61.31","36.37","21.78","165.93","13.57",49744,0,"0 %",15587,1,"0.01 %","17.53",28,"17.18","30.33","89.08",307,"5042.64","1115.86","1161.73","334.91","1571.10","137.73",82493,0,"0 %",20448,19,"0.19 %","1303.00","2252.80","15.14","41.93","62.48",368
"26","proud-wheel-26","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.555Z","303.131","2021-03-23T19:33:05.057Z","139.78",3,5.5,13,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc3","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:944575 Se","55.70","30.46","39.66","13.33","32.95","18.82",13036,0,"0 %",6815,0,"0 %","19.38",42,"6.37","10.29","16.33",27,"1035.15","873.03","1096.18","142.20","1134.27","255.55",17209,0,"0 %",14791,0,"0 %","365.19","587.10","5.37","9.31","17.65",38
"27","proud-wheel-27","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.556Z","369.908","2021-03-23T19:32:21.397Z","211.865",64.3,5.9,14,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc4","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","212.66","62.94","35.17","16.28","157.90","14.84",57575,"3.71","0.05 %",18783,"2.50","0.03 %","18.08",29,"17.70","27.21","90.00",566,"5677.55","1364.74","1328.19","399.55","1875.02","158.60",105497,0,"0 %",29224,"1.50","0.01 %","1318.18","2139.58","12.64","31.59","66.36",466
"28","proud-wheel-28","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.557Z","317.457","2021-03-23T19:33:16.042Z","154.312",4.84,5.4,14,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc5","No errors","56.00","28.84","312.81",0,"33.77","16.49",14170,0,"0 %",7440,0,"0 %","21.53",72,"6.72","13.77","16.94",28,"1206.69","893.03","1731.66","134.74","1193.27","257.75",21695,0,"0 %",16375,0,"0 %","364.83","691.47","5.50","12.28","17.64",35
"29","proud-wheel-29","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.623Z","576.328","No data","NaN",NaN,0,15,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc6"," Timed out while waiting for element <a.video-attendance-card__link> to be present for 500000 milliseconds. - expected ""visible"" but got: ""not found"" (500097ms), waitForElementVisible ('a.video-attendance-card__link', 500000) (Line:53)",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
"30","proud-wheel-30","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.624Z","681.32","No data","NaN",NaN,0,15,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc7"," Timed out while waiting for element <div.card-in-call__body  div.card-in-call__content  div.card-in-call__timer> to be present for 500000 milliseconds. - expected ""visible"" but got: ""not found"" (500255ms), waitForElementVisible ('div.card-in-call__body  div.card-in-call__content  div.card-in-call__timer', 500000) (Line:214)",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
"31","proud-wheel-31","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.625Z","342.8","2021-03-23T19:32:38.075Z","184.847",62.02,5.9,16,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc8","Error while running .clickElement) protocol action: stale element reference: element is not attached to the page document","117.47","30.40","66.79","18.70","67.07","11.23",26043,0,"0 %",8017,0,"0 %","11.19",53,"9.40","16.96","22.15",64,"3479.38","786.37","2111.45","203.06","2104.82","100.43",54617,0,"0 %",15525,0,"0 %","425.48","869.00","8.06","19.42","22.17",87
"32","proud-wheel-32","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.626Z","332.973","2021-03-23T19:33:35.060Z","127.653",3.11,5.7,16,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcc9","https:/www.staging.liviasaude.com.br/assetslv2/img/img-exames-mobile.jpg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","29.31","27.46","41.84","10.38","33.29","13.48",6015,0,"0 %",6139,2,"0.03 %","14.77",33,"7.16","11.96","19.26",31,"944.58","878.73","1721.88","255.63","1391.75","243.62",13531,0,"0 %",13486,1,"0.01 %","295.65","384.07","6.16","15.14","20.57",108
"33","proud-wheel-33","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.626Z","366.787","2021-03-23T19:32:47.822Z","175.85",54.02,5.7,17,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcca","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","89.29","30.34","134.45","6.85","125.86","6.55",19713,0,"0 %",8363,0,"0 %","10.86",24,"9.75","15.29","24.26",47,"2625.73","821.77","4576.45","270.50","4258.20","153.70",41367,0,"0 %",16205,0,"0 %","40.92","477.92","8.19","25.48","26.68",101
"34","proud-wheel-34","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.628Z","332.43","2021-03-23T19:33:36.364Z","126.976",3.21,5.8,17,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dccb","https:/www.staging.liviasaude.com.br/assetslv2/js/jquery.min.js - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","28.15","29.21","52.62","9.38","35.13","6.57",6047,0,"0 %",6125,0,"0 %","13.04",30,"6.94","24.60","17.74",35,"841.70","871.28","1537.09","195.64","1314.08","270.20",12431,0,"0 %",13355,1,"0.01 %","290.08","465.00","5.90","13.17","19.10",49
"35","proud-wheel-35","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.628Z","344.794","2021-03-23T19:32:22.649Z","182.331",34.58,5.6,18,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dccc","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","209.41","61.36","35.91","0.67","37.75","16.83",51222,0,"0 %",15599,0,"0 %","18.38",29,"19.69","32.81","83.65",238,"5151.95","1256.54","1158.22","22.66","1264.81","181.23",88942,0,"0 %",22464,"0.50","0.00 %","1387.47","2008.14","15.25","45.84","71.68",332
"36","proud-wheel-36","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.629Z","279.569","2021-03-23T19:32:41.063Z","155.599",3.06,5.4,18,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dccd","No errors","56.31","29.29","39.56","17.02","33.55","18.69",14412,0,"0 %",7579,0,"0 %","19.26",54,"6.18","10.44","18.19",37,"1149.90","833.64","1366.38","116.80","1148.56","253.41",20611,0,"0 %",15889,0,"0 %","261.04","490.36","5.63","13.67","17.24",42
"37","proud-wheel-37","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.630Z","367.379","2021-03-23T19:32:55.968Z","175.472",54.26,5.6,19,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcce","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","118.69","59.86","125.95","9.57","73.05","16.14",26924,0,"0 %",15647,0,"0 %","15.11",27,"14.74","26.35","48.69",195,"3535.16","1614.68","4651.95","229.38",2174,"143.21",55226,0,"0 %",29619,"0.50","0.00 %","108.35","653.06","12.05","38.13","57.94",325
"38","proud-wheel-38","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.630Z","341.258","2021-03-23T19:33:42.527Z","128.885",4.53,5.6,19,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dccf","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:944575 Se","56.75","28.30","50.90","14.73","33.51","18.08",11917,0,"0 %",6168,0,"0 %","17.41",40,"7.03","10.50","15.97",22,"1631.68","891.48","1694.34","160.01","1155.55","272.99",23572,0,"0 %",13635,0,"0 %","314.99","445.00","5.64","10.30","17.70",35
"39","proud-wheel-39","Linux","VOA-VGA04 (480x640)","2021-03-23T19:30:47.630Z","360.914","2021-03-23T19:32:38.463Z","180.488",76.06,5.9,20,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcd0","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","148.73","30.35","34.56","18.61","97.80","6.89",32691,0,"0 %",8633,0,"0 %","9.42",19,"8.57","16.92","23.22",142,"4493.19","769.89","1135.22","317.53","3091.03","179.55",69791,0,"0 %",15913,0,"0 %","73.22","103.00","8.51","22.33","21.65",63
"40","proud-wheel-40","Linux","VOA-VGA (480x640)","2021-03-23T19:30:47.635Z","339.724","2021-03-23T19:33:43.449Z","115.856",3.17,5.9,20,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a41e74ef102001160dcd1","https:/www.staging.liviasaude.com.br/assetslv2/img/img-exames-desktop.jpg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","28.59","28.77","80.84",0,"34.28","18.26",5563,0,"0 %",5672,0,"0 %","10.62",30,"5.46","7.63","17.94",37,"895.50","890.77","1610.30","262.70","1110.54","283.25",11971,0,"0 %",12412,1,"0.01 %","275.23","693.95","4.94","8.66","15.88",26